Durbin-Watson 2.5% Critical Values
N=30 to 1000, K=2, including intercept
  N    K     dL       dU
 30.   2.  1.24888  1.38317
 31.   2.  1.26110  1.39100
 32.   2.  1.27276  1.39856
 33.   2.  1.28390  1.40586
 34.   2.  1.29457  1.41290
 35.   2.  1.30478  1.41971
 36.   2.  1.31458  1.42629
 37.   2.  1.32399  1.43265
 38.   2.  1.33303  1.43881
 39.   2.  1.34173  1.44478
 40.   2.  1.35011  1.45057
 41.   2.  1.35818  1.45618
 42.   2.  1.36596  1.46161
 43.   2.  1.37348  1.46690
 44.   2.  1.38075  1.47203
 45.   2.  1.38778  1.47701
 46.   2.  1.39458  1.48186
 47.   2.  1.40115  1.48658
 48.   2.  1.40753  1.49116
 49.   2.  1.41372  1.49562
 50.   2.  1.41971  1.49998
 51.   2.  1.42553  1.50422
 52.   2.  1.43119  1.50835
 53.   2.  1.43669  1.51238
 54.   2.  1.44202  1.51632
 55.   2.  1.44722  1.52016
 56.   2.  1.45227  1.52391
 57.   2.  1.45720  1.52757
 58.   2.  1.46200  1.53115
 59.   2.  1.46667  1.53465
 60.   2.  1.47123  1.53807
 61.   2.  1.47567  1.54142
 62.   2.  1.48001  1.54469
 63.   2.  1.48424  1.54789
 64.   2.  1.48838  1.55102
 65.   2.  1.49242  1.55410
 66.   2.  1.49636  1.55711
 67.   2.  1.50022  1.56006
 68.   2.  1.50399  1.56294
 69.   2.  1.50767  1.56578
 70.   2.  1.51129  1.56855
 71.   2.  1.51482  1.57127
 72.   2.  1.51828  1.57395
 73.   2.  1.52167  1.57658
 74.   2.  1.52498  1.57915
 75.   2.  1.52824  1.58167
 76.   2.  1.53143  1.58416
 77.   2.  1.53455  1.58660
 78.   2.  1.53762  1.58899
 79.   2.  1.54062  1.59135
 80.   2.  1.54356  1.59366
 81.   2.  1.54646  1.59593
 82.   2.  1.54931  1.59817
 83.   2.  1.55209  1.60036
 84.   2.  1.55483  1.60253
 85.   2.  1.55752  1.60465
 86.   2.  1.56016  1.60675
 87.   2.  1.56275  1.60881
 88.   2.  1.56531  1.61084
 89.   2.  1.56782  1.61283
 90.   2.  1.57028  1.61480
 91.   2.  1.57271  1.61673
 92.   2.  1.57509  1.61864
 93.   2.  1.57744  1.62051
 94.   2.  1.57975  1.62237
 95.   2.  1.58203  1.62419
 96.   2.  1.58426  1.62599
 97.   2.  1.58646  1.62775
 98.   2.  1.58863  1.62950
 99.   2.  1.59076  1.63122
100.   2.  1.59286  1.63292
101.   2.  1.59493  1.63459
102.   2.  1.59697  1.63624
103.   2.  1.59899  1.63787
104.   2.  1.60097  1.63948
105.   2.  1.60292  1.64106
106.   2.  1.60484  1.64262
107.   2.  1.60674  1.64417
108.   2.  1.60861  1.64569
109.   2.  1.61045  1.64719
110.   2.  1.61227  1.64867
111.   2.  1.61406  1.65014
112.   2.  1.61583  1.65159
113.   2.  1.61758  1.65302
114.   2.  1.61930  1.65442
115.   2.  1.62100  1.65582
116.   2.  1.62268  1.65720
117.   2.  1.62433  1.65856
118.   2.  1.62597  1.65990
119.   2.  1.62758  1.66123
120.   2.  1.62917  1.66255
121.   2.  1.63075  1.66384
122.   2.  1.63231  1.66512
123.   2.  1.63383  1.66639
124.   2.  1.63535  1.66764
125.   2.  1.63685  1.66888
126.   2.  1.63833  1.67011
127.   2.  1.63979  1.67132
128.   2.  1.64123  1.67252
129.   2.  1.64266  1.67370
130.   2.  1.64408  1.67487
131.   2.  1.64547  1.67603
132.   2.  1.64684  1.67718
133.   2.  1.64821  1.67831
134.   2.  1.64956  1.67943
135.   2.  1.65089  1.68054
136.   2.  1.65221  1.68165
137.   2.  1.65351  1.68273
138.   2.  1.65480  1.68381
139.   2.  1.65608  1.68487
140.   2.  1.65733  1.68593
141.   2.  1.65857  1.68697
142.   2.  1.65981  1.68801
143.   2.  1.66103  1.68903
144.   2.  1.66224  1.69005
145.   2.  1.66343  1.69105
146.   2.  1.66462  1.69203
147.   2.  1.66579  1.69302
148.   2.  1.66695  1.69399
149.   2.  1.66809  1.69496
150.   2.  1.66923  1.69591
151.   2.  1.67035  1.69686
152.   2.  1.67146  1.69780
153.   2.  1.67257  1.69873
154.   2.  1.67366  1.69965
155.   2.  1.67474  1.70056
156.   2.  1.67580  1.70146
157.   2.  1.67686  1.70237
158.   2.  1.67791  1.70325
159.   2.  1.67895  1.70413
160.   2.  1.67998  1.70500
161.   2.  1.68100  1.70587
162.   2.  1.68201  1.70672
163.   2.  1.68301  1.70757
164.   2.  1.68400  1.70841
165.   2.  1.68498  1.70924
166.   2.  1.68595  1.71007
167.   2.  1.68691  1.71088
168.   2.  1.68788  1.71170
169.   2.  1.68883  1.71251
170.   2.  1.68976  1.71330
171.   2.  1.69069  1.71410
172.   2.  1.69161  1.71488
173.   2.  1.69253  1.71567
174.   2.  1.69343  1.71643
175.   2.  1.69433  1.71720
176.   2.  1.69522  1.71796
177.   2.  1.69610  1.71871
178.   2.  1.69697  1.71946
179.   2.  1.69784  1.72021
180.   2.  1.69870  1.72094
181.   2.  1.69956  1.72168
182.   2.  1.70041  1.72239
183.   2.  1.70124  1.72311
184.   2.  1.70208  1.72383
185.   2.  1.70290  1.72454
186.   2.  1.70372  1.72524
187.   2.  1.70453  1.72593
188.   2.  1.70533  1.72663
189.   2.  1.70613  1.72731
190.   2.  1.70692  1.72799
191.   2.  1.70771  1.72867
192.   2.  1.70850  1.72934
193.   2.  1.70927  1.73001
194.   2.  1.71003  1.73066
195.   2.  1.71080  1.73132
196.   2.  1.71155  1.73198
197.   2.  1.71230  1.73262
198.   2.  1.71304  1.73326
199.   2.  1.71378  1.73389
200.   2.  1.71451  1.73453
201.   2.  1.71524  1.73516
202.   2.  1.71597  1.73578
203.   2.  1.71668  1.73640
204.   2.  1.71739  1.73701
205.   2.  1.71810  1.73763
206.   2.  1.71880  1.73823
207.   2.  1.71949  1.73883
208.   2.  1.72018  1.73943
209.   2.  1.72087  1.74002
210.   2.  1.72155  1.74061
211.   2.  1.72223  1.74119
212.   2.  1.72290  1.74177
213.   2.  1.72357  1.74235
214.   2.  1.72423  1.74292
215.   2.  1.72488  1.74350
216.   2.  1.72553  1.74406
217.   2.  1.72618  1.74462
218.   2.  1.72682  1.74518
219.   2.  1.72746  1.74573
220.   2.  1.72810  1.74629
221.   2.  1.72873  1.74684
222.   2.  1.72935  1.74738
223.   2.  1.72997  1.74792
224.   2.  1.73059  1.74846
225.   2.  1.73120  1.74899
226.   2.  1.73181  1.74952
227.   2.  1.73241  1.75004
228.   2.  1.73301  1.75057
229.   2.  1.73362  1.75109
230.   2.  1.73421  1.75161
231.   2.  1.74344  1.74344
232.   2.  1.74398  1.74399
233.   2.  1.74453  1.74453
