Durbin-Watson 5% Critical Values
N=30 to 1000, K=2, including intercept
  N    K     dL       dU
 30.   2.  1.35204  1.48936
 31.   2.  1.36298  1.49574
 32.   2.  1.37340  1.50190
 33.   2.  1.38335  1.50784
 34.   2.  1.39285  1.51358
 35.   2.  1.40194  1.51914
 36.   2.  1.41065  1.52451
 37.   2.  1.41900  1.52971
 38.   2.  1.42702  1.53475
 39.   2.  1.43473  1.53963
 40.   2.  1.44214  1.54436
 41.   2.  1.44927  1.54895
 42.   2.  1.45615  1.55340
 43.   2.  1.46278  1.55773
 44.   2.  1.46920  1.56193
 45.   2.  1.47538  1.56602
 46.   2.  1.48136  1.56999
 47.   2.  1.48715  1.57386
 48.   2.  1.49275  1.57762
 49.   2.  1.49819  1.58129
 50.   2.  1.50345  1.58486
 51.   2.  1.50856  1.58835
 52.   2.  1.51352  1.59174
 53.   2.  1.51833  1.59505
 54.   2.  1.52300  1.59829
 55.   2.  1.52755  1.60144
 56.   2.  1.53197  1.60452
 57.   2.  1.53628  1.60754
 58.   2.  1.54047  1.61048
 59.   2.  1.54455  1.61336
 60.   2.  1.54853  1.61617
 61.   2.  1.55240  1.61892
 62.   2.  1.55619  1.62161
 63.   2.  1.55987  1.62425
 64.   2.  1.56348  1.62683
 65.   2.  1.56699  1.62936
 66.   2.  1.57043  1.63184
 67.   2.  1.57378  1.63427
 68.   2.  1.57706  1.63665
 69.   2.  1.58027  1.63898
 70.   2.  1.58341  1.64127
 71.   2.  1.58648  1.64352
 72.   2.  1.58949  1.64571
 73.   2.  1.59243  1.64788
 74.   2.  1.59530  1.65001
 75.   2.  1.59813  1.65209
 76.   2.  1.60090  1.65413
 77.   2.  1.60361  1.65614
 78.   2.  1.60626  1.65812
 79.   2.  1.60887  1.66006
 80.   2.  1.61143  1.66197
 81.   2.  1.61393  1.66385
 82.   2.  1.61639  1.66569
 83.   2.  1.61880  1.66751
 84.   2.  1.62118  1.66929
 85.   2.  1.62350  1.67105
 86.   2.  1.62579  1.67277
 87.   2.  1.62804  1.67448
 88.   2.  1.63024  1.67615
 89.   2.  1.63242  1.67780
 90.   2.  1.63454  1.67942
 91.   2.  1.63664  1.68102
 92.   2.  1.63870  1.68259
 93.   2.  1.64073  1.68414
 94.   2.  1.64272  1.68567
 95.   2.  1.64469  1.68717
 96.   2.  1.64661  1.68866
 97.   2.  1.64851  1.69012
 98.   2.  1.65038  1.69156
 99.   2.  1.65223  1.69298
100.   2.  1.65404  1.69439
101.   2.  1.65582  1.69577
102.   2.  1.65758  1.69713
103.   2.  1.65932  1.69848
104.   2.  1.66103  1.69981
105.   2.  1.66271  1.70111
106.   2.  1.66436  1.70241
107.   2.  1.66600  1.70369
108.   2.  1.66761  1.70495
109.   2.  1.66920  1.70619
110.   2.  1.67076  1.70741
111.   2.  1.67231  1.70863
112.   2.  1.67383  1.70982
113.   2.  1.67533  1.71101
114.   2.  1.67681  1.71217
115.   2.  1.67828  1.71333
116.   2.  1.67972  1.71446
117.   2.  1.68115  1.71559
118.   2.  1.68255  1.71670
119.   2.  1.68394  1.71780
120.   2.  1.68531  1.71889
121.   2.  1.68666  1.71996
122.   2.  1.68800  1.72102
123.   2.  1.68932  1.72207
124.   2.  1.69062  1.72310
125.   2.  1.69191  1.72413
126.   2.  1.69318  1.72515
127.   2.  1.69443  1.72614
128.   2.  1.69568  1.72714
129.   2.  1.69690  1.72812
130.   2.  1.69811  1.72909
131.   2.  1.69931  1.73005
132.   2.  1.70049  1.73100
133.   2.  1.70166  1.73194
134.   2.  1.70282  1.73286
135.   2.  1.70397  1.73379
136.   2.  1.70510  1.73469
